festival.id,fest.name,fest.label,event,event.year,event.month,event.date,event.country,unique.id,title.mixed,fest.count,fest.run.month,fest.regions.ocean,fest.regions.mena,fest.regions.africa,fest.regions.asia,fest.regions.na,fest.regions.eu,fest.regions.la,fest.country.n,only.fest,thr,digital,tv,dvd.br,imdb.id,gender.team
fest.lib.id285,cannes international film festival,cannes international,cannes film festival,2013,5,17,France,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id7160,edinburgh international film festival,edinburgh international,edinburgh international film festival,2013,6,22,United Kingdom,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id974,karlovy vary international film festival,karlovy vary international,karlovy vary film festival,2013,6,29,Czechia,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1258,new horizons international film festival,new horizons international,new horizons film festival,2013,7,24,Poland,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id7964,film and art festival two riversides,and art two riversides,two riversides film and art festival,2013,7,30,Poland,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1736,tiff toronto international film festival,tiff toronto international,toronto international film festival,2013,9,5,Canada,1,A Story of Children and Film,15,13,0,0,0,0,1,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1489,reykjavik international film festival,reykjavik international,reykjavik international film festival,2013,9,26,Iceland,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1821,vancouver international film festival,vancouver international,vancouver international film festival,2013,9,26,Canada,1,A Story of Children and Film,15,13,0,0,0,0,1,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id754,hawaii film festival,hawaii,hawaii film festival,2013,10,12,United States,1,A Story of Children and Film,15,13,0,0,0,0,1,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1648,stockholm international film festival,stockholm international,stockholm international film festival,2013,11,13,Sweden,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id463,dubai international film festival,dubai international,dubai international film festival,2013,12,8,United Arab Emirates,1,A Story of Children and Film,15,13,0,1,0,0,0,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id268,buff childrens' short film festival,buff childrens' short,buff film festival,2014,3,11,Sweden,1,A Story of Children and Film,15,13,0,0,0,0,0,1,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id763,hong kong international film festival,hong kong international,hong kong international film festival,2014,3,30,China,1,A Story of Children and Film,15,13,0,0,0,1,0,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1529,san francisco international film festival,san francisco international,san francisco international film festival,2014,5,4,United States,1,A Story of Children and Film,15,13,0,0,0,0,1,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id1664,sydney film festival,sydney,sydney film festival,2014,6,7,Australia,1,A Story of Children and Film,15,13,1,0,0,0,0,0,0,11,0,0,0,1,0,tt2917506,male only
fest.lib.id285,cannes international film festival,cannes international,cannes film festival,2013,5,18,France,10,Bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1736,tiff toronto international film festival,tiff toronto international,toronto international film festival,2013,9,11,Canada,10,Bends,22,11,0,0,0,0,1,0,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1821,vancouver international film festival,vancouver international,vancouver international film festival,2013,9,27,Canada,10,Bends,22,11,0,0,0,0,1,0,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1895,hamburg film festival,hamburg,hamburg film festival,2013,9,27,Germany,10,Bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id208,bfi london film festival,bfi london,london film festival,2013,10,18,United Kingdom,10,Bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id.ch1786,london film festival,london,london film festival,2013,10,18,United Kingdom,10,bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1540,sao paulo international film festival,sao paulo international,sao paulo international film festival,2013,10,31,Brazil,10,Bends,22,11,0,0,0,0,0,0,1,10,0,0,0,0,0,tt2852460,female only
fest.lib.id2892,five flavours film festival,five flavours,five flavours film festival,2013,11,8,Poland,10,Bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1648,stockholm international film festival,stockholm international,stockholm international film festival,2013,11,14,Sweden,10,Bends,22,11,0,0,0,0,0,1,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1298,oaff osaka asian film festival,oaff osaka asian,osaka asian film festival,2014,3,9,Japan,10,Bends,22,11,0,0,0,1,0,0,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1160,minneapolis st paul international film festival,minneapolis st paul international,minneapolis-st. paul international film festival,2014,4,5,United States,10,Bends,22,11,0,0,0,0,1,0,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id.na414,singapore chinese film festival,singapore chinese,singapore chinese film festival,2014,4,19,Singapore,10,Bends,22,11,0,0,0,1,0,0,0,10,0,0,0,0,0,tt2852460,female only
fest.lib.id1748,tokyo filmex,tokyo filmex,tokyo filmex,2012,11,25,Japan,100,A Legend or Was It?,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,tt0057494,male only
fest.lib.id1888,berlin international film festival,berlin international,berlin international film festival,2013,2,1,Germany,100,A Legend or Was It?,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,tt0057494,male only
fest.lib.id1888,berlin international film festival,berlin international,berlin international film festival,2013,2,NA,Germany,1000,Somewhere in the Netherlands,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,tt0032445,male only
fest.lib.id1736,tiff toronto international film festival,tiff toronto international,toronto international film festival,2013,9,1,Canada,1001,Song,2,2,0,0,0,0,1,0,0,2,1,0,0,0,0,tt3613002,male only
id097,jihlava international documentary film festival,jihlava international documentary,jihlava international documentary film festival,2013,10,27,Czechia,1001,Song,2,2,0,0,0,0,0,1,0,2,1,0,0,0,0,tt3613002,male only
fest.lib.id874,international documentary festival amsterdam,international documentary amsterdam,international documentary festival amsterdam,2013,11,21,Netherlands,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1876,zagreb dox film festival,zagreb dox,zagreb dox film festival,2014,2,24,Croatia,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1776,true false film fest,true false fest,true/fals film fest,2014,2,27,United States,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1662,sxsw film festival,sxsw,south by southwest,2014,3,8,United States,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1722,thessaloniki documentary festival,thessaloniki documentary,thessaloniki documentary festival,2014,3,20,Greece,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id365,cleveland international film festival,cleveland international,cleveland international film festival,2014,3,28,United States,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id944,it's all true international documentary film festival,it's all true international documentary,it's all true international documentary film festival,2014,4,4,Brazil,1002,Song from the Forest,53,28,0,0,0,0,0,0,1,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1497,riverrun international film festival,riverrun international,riverrun international film festival,2014,4,5,United States,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na64,budoku budapest documentary festival,budoku budapest documentary,budoku budapest documentary festival,2014,5,6,Hungary,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1956,dokfest,dokfest,dokfest,2014,5,9,Germany,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id437,director's cut doc aviv,director's cut doc aviv,docaviv international documentary film festival,2014,5,9,Israel,1002,Song from the Forest,53,28,0,1,0,0,0,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id461,doxa,doxa,doxa,2014,5,10,Canada,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id8055,green film festival,green,green film festival,2014,5,10,South Korea,1002,Song from the Forest,53,28,0,0,0,1,0,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id5689,beldocs,beldocs,beldocs,2014,5,12,Serbia,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na375,planete+ doc film festival,planete+ doc,planete+ doc film festival,2014,5,14,Poland,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id7837,edoc,edoc,edoc,2014,5,28,Ecuador,1002,Song from the Forest,53,28,0,0,0,0,0,0,1,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id6061,documentary edge festival,documentary edge,documentary edge festival,2014,5,31,New Zealand,1002,Song from the Forest,53,28,1,0,0,0,0,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id6853,festival cinemambiente,cinemambiente,festival cinemambiente,2014,6,3,Italy,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na50,biografilm festival,biografilm,biografilm festival,2014,6,6,Italy,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1577,shanghai international film festival,shanghai international,shanghai international film festival,2014,6,17,China,1002,Song from the Forest,53,28,0,0,0,1,0,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id8248,cinema city international film festival,cinema city international,cinema city international film festival,2014,6,22,Serbia,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1183,moscow international film festival,moscow international,moscow international film festival,2014,6,24,Russia,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na210,funf-seen-filmfestival,funf-seen-filmfestival,funf seen film festival,2014,7,26,Germany,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id4680,melbourne iff,melbourne iff,melbourne international film festival,2014,8,4,Australia,1002,Song from the Forest,53,28,1,0,0,0,0,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na299,lemesos international documentary festival,lemesos international documentary,lemesos international documentary festival,2014,8,6,Cyprus,1002,Song from the Forest,53,28,0,0,0,1,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1141,message to man international film festival,message to man international,message to man film festival,2014,9,22,Russia,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id.na43,nafa film festival bergen,nafa bergen,bergen international film festival,2014,9,24,Norway,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1311,one world international human rights documentary film festival,one world international human rights documentary,one world film festival,2014,9,26,Canada,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id281,camden international film festival,camden international,camden international film festival,2014,9,27,United States,1002,Song from the Forest,53,28,0,0,0,0,1,0,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id1887,zurich film festival,zurich,zurich film festival,2014,9,29,Switzerland,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
fest.lib.id208,bfi london film festival,bfi london,london film festival,2014,10,12,United Kingdom,1002,Song from the Forest,53,28,0,0,0,0,0,1,0,28,0,1,0,0,0,tt3003858,at least one unknown name
