"fest.award","fest.location.city","event.country","unique.id","event.month","event.year","event.date","festival.id","event.country.region","fest.name","date"
"Best Animation","-99","Hungary","f7893",3,NA,NA,"fest.lib.id8298","Europe","friss hus budapest",NA
"Best short film","-99","United States","f7893",3,NA,NA,"fest.lib.id1497","North America","riverrun international film festival",NA
"Special Jury Award","-99","Serbia","f7893",9,NA,NA,"fest.lib.id.na13","Europe","animanima international animation festival",NA
"Best Animation","-99","Poland","f7893",9,NA,NA,"fest.lib.id8251","Europe","ars independent international film festival katowice",NA
"Best European Animation","-99","Spain","f7893",10,NA,NA,"fest.lib.id.survey.na4","Europe","3d wire animation market",NA
"Best Debut Film and Audience Award","-99","Hungary","f7893",10,NA,NA,"fest.lib.id1414","Europe","primanima world festival of first animations, budapest",NA
"Hokkaido Governor Award","-99","Japan","f7893",11,NA,NA,"fest.lib.id1253","Asia","new chitose airport international animation festival",NA
NA,"-99","Germany","98",2,NA,NA,"fest.lib.id1888","Europe","berlin international film festival",NA
NA,"-99","China","98",3,NA,NA,"fest.lib.id763","Asia","hong kong international film festival",NA
NA,"-99","Czechia","98",3,NA,NA,"fest.lib.id.na137","Europe","febio film festival",NA
NA,"-99","Serbia","98",7,NA,NA,"fest.lib.id.na360","Europe","european film festival palic, serbia",NA
NA,"-99","Germany","98",7,NA,NA,"fest.lib.id.na210","Europe","funf-seen-filmfestival",NA
NA,"-99","Armenia","98",7,NA,NA,"fest.lib.id726","Europe","golden apricot yerevan international film festival",NA
NA,"-99","Switzerland","98",8,NA,NA,"fest.lib.id1050","Europe","locarno international film festival",NA
NA,"-99","Georgia","98",9,NA,NA,"fest.lib.id211","Asia","batumi international art film festival",NA
NA,"-99","Portugal","98",9,NA,NA,"fest.lib.id1439","Europe","queer lisboa international queer film festivals",NA
NA,"-99","Ukraine","98",10,NA,NA,"fest.lib.id2067","Europe","molodist kyiv international film festival",NA
NA,"-99","Brazil","98",10,NA,NA,"fest.lib.id1540","Latin America and Caribbean","sao paulo international film festival",NA
NA,"-99","Ukraine","98",11,NA,NA,"fest.lib.id.survey.na310","Europe","festival of georgian films in ukraine",NA
NA,"-99","Switzerland","98",11,NA,NA,"fest.lib.id1447","Europe","queersicht film festival",NA
NA,"-99","Germany","98",11,NA,NA,"fest.lib.id1910","Europe","festival of east european cinema cottbus",NA
NA,"-99","North Macedonia","98",11,NA,NA,"fest.lib.id7662","Europe","cinedays festival of european film",NA
NA,"-99","India","98",12,NA,NA,"fest.lib.id903","Asia","international film festival of kerala thiruvananthapuram",NA
