film.id,unique.id,title.mixed,information.festiv,imdb.enter,imdb.enter.other.txt,number.fest.estim,fest.data.cmpl.1,d.s.document,d.s.website,d.s.imdb,d.s.other,d.s.other.txt,part.data.expl,more.data.world.sales,more.data.distr,more.data.film.dir,more.data.other,more.data.other.txt,more.data.none,scr.f,subm.f,subm.lim,scr.f.amount,scr.f.cur,subm.f.amount,subm.f.cur,budg.ranges,budg.amount,budg.cur,markt.costs,markt.amount,markt.cur,fest.cnslt,fest.market,market_1,market_2,market_3,mrkt.date.origin_1,mrkt.date.origin_2,mrkt.date.origin_3,mrkt.location.origin_1,mrkt.location.city_1,mrkt.location.country_1,mrkt.location.origin_2,mrkt.location.city_2,mrkt.location.country_2,mrkt.location.origin_3,mrkt.location.city_3,mrkt.location.country_3,distr.tv,distr.th.r,distr.digit,distr.dvd,distr.other,distr.other.txt,distr.none,distr.vimeo,distr.youtube,distr.netflix,distr.amazon,distr.itunes,distr.mubi,distr.digit.other,distr.digit.other.txt,role.dir,role.prod,role.other,role.other.txt,qual.intrw,share.consent,scr.f.amount.euro,budg.amount.euro,subm.f.amount.euro,data.format
f1004,1335,Vic+Flo Saw a Bear,I have partial or complete information,Yes,NA,95,Yes,quoted,not quoted,not quoted,quoted,In contact with sales agent/distributor,-66,-77,-77,-77,-77,-66,-77,Yes,I do not have this information,I do not have this information,see with distributor Films Boutique,Euro,-66,-77,1.000.000 - 2.999.999 Euro,"2, 200 000",Canadian dollar,Yes,+ or - 30 000,Canadian dollar,Yes,Yes,Berlinale,Cannes,NA,2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quoted,quoted,quoted,quoted,not quoted,NA,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,NA,quoted,not quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,NA,-66,NA,send a document with festival information by email
f1029,1252,The Waiting,I have partial or complete information,Yes,NA,12,Yes,quoted,not quoted,not quoted,not quoted,NA,-66,-77,-77,-77,-77,-66,-77,No,Yes,No,-66,-77,"only the fee for Berlin Film Festival, I was invited to the other ones",NA,0 - 49.999 Euro,NA,NA,No,-66,-77,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not quoted,not quoted,not quoted,not quoted,quoted,"I am an artist, not a commercial filmmaker.  The Waiting  was exhibited in many Contemporary Art Museums around the world, from PS1 MoMA in New York to MAXXI Museum in Rome to Badischer Kunstverein in Karlsruhe.",not quoted,-77,-77,-77,-77,-77,-77,-77,-66,quoted,quoted,not quoted,NA,No,I agree to make film-specific data accessible to research community,-66,NA,NA,send a document with festival information by email
f1036,450,FORST,I have partial or complete information,No,NA,40,No,quoted,not quoted,not quoted,not quoted,NA,I just havent written every festival down and sometimes it was on festivals tours,not quoted,not quoted,not quoted,not quoted,NA,quoted,No,Yes,Yes,-66,-77,200,Euro,0 - 49.999 Euro,"€ 10000,00",Euro,No,-66,-77,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not quoted,not quoted,not quoted,not quoted,quoted,just privat elink with password and Torus like Berlinale and Deutscher Kurzfilmpreis,not quoted,-77,-77,-77,-77,-77,-77,-77,-66,quoted,quoted,not quoted,NA,No,I agree to make film-specific data accessible to research community,-66,NA,NA,send a document with festival information by email
f1043,768,Mystery,I have partial or complete information,Yes,NA,153,No,quoted,quoted,not quoted,quoted,https://www.facebook.com/pg/misterioshortfilm,NA,not quoted,not quoted,quoted,not quoted,NA,not quoted,Yes,Yes,Yes,800,Euro,1600,Euro,0 - 49.999 Euro,5000,Euro,No,-66,-77,No,Yes,Clermont Ferrand Market,NA,NA,2014,NA,NA,"Clermont Ferrand, France",clermont ferrand, france,NA,NA,NA,NA,NA,NA,quoted,not quoted,quoted,not quoted,not quoted,NA,not quoted,quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,NA,quoted,quoted,not quoted,NA,No,I agree to make film-specific data accessible to research community,800,NA,NA,send a document with festival information by email
f1050,93,A City Within A City,I have no information,-77,-66,-66,-77,-77,-77,-77,-77,-66,-66,-77,-77,-77,-77,-66,-77,No,No,Yes,-66,-77,-66,-77,0 - 49.999 Euro,5000,Euro,No,-66,-77,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not quoted,not quoted,quoted,not quoted,not quoted,NA,not quoted,quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,NA,quoted,quoted,quoted,"I made this film as a documentary filmmaker. I did everything, besides translation and music.","Yes, contact me via this email:",I agree to make film-specific data accessible to research community,-66,-66,NA,send a document with festival information by email
f1062,1231,The Spirit of '45,I have partial or complete information,No,NA,10,I do not know,quoted,not quoted,not quoted,not quoted,NA,The film certainly played at at least ten film festivals but I'm probably not aware of minor festivals where it played.  The information would be available from Dogwoof who distributed the film.,not quoted,quoted,not quoted,not quoted,NA,not quoted,I do not have this information,I do not have this information,-77,-66,-77,-66,-77,500.000 - 999.999 Euro,600,British pound,Yes,25,British pound,No,Yes,Cannes Film Festival,NA,NA,5.2016,NA,NA,"Cannes, France",cannes, france,NA,NA,NA,NA,NA,NA,quoted,quoted,not quoted,quoted,not quoted,NA,not quoted,-77,-77,-77,-77,-77,-77,-77,-66,not quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,-66,-66,NA,send a document with festival information by email
f1073,16,Born This Way,I have partial or complete information,Yes,NA,80,No,quoted,not quoted,not quoted,quoted,Report from our festival agent. ,Most festivals appear on the list and were booked by The Film Collaborative. A few small festivals that don't pay screening fees reached out to us directly and my co-director and I managed the bookings ourselves. It was many years ago and I just don't remember which festivals those were--it was probably about 3-5 from a total of about 80 festivals.,not quoted,not quoted,not quoted,not quoted,NA,quoted,Yes,Yes,No,"15,000.00",United States dollar,150,United States dollar,200.000 - 499.999 Euro,"335,000.00",United States dollar,Yes,35000,United States dollar,Yes,Yes,Berlinale Media Market,NA,NA,2.2013,NA,NA,"Berlin, Germany",berlin, germany,NA,NA,NA,NA,NA,NA,quoted,not quoted,quoted,quoted,quoted,Educational screenings at universities and other institutions,not quoted,not quoted,not quoted,not quoted,quoted,not quoted,not quoted,quoted,Revry,quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,11364,253788,114,send a document with festival information by email
f1074,29,It's All so Quiet,I have partial or complete information,No,NA,35,I do not know,quoted,not quoted,not quoted,not quoted,NA,We have not received a final update from the sales agent.,quoted,not quoted,not quoted,not quoted,NA,not quoted,Yes,No,No,festival receipts stay with sales agent,NA,-66,-77,1.000.000 - 2.999.999 Euro,"1,999.72",Euro,Yes,40.000 inside the budget excl world sales and local distributors,Euro,Yes,Yes,Berlinale,Cannes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quoted,quoted,quoted,quoted,quoted,air planes etc,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,"local in territories where it was sold to, this was before the big platforms mentioned",not quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,NA,-66,NA,send a document with festival information by email
f1076,98,A Fold in My Blanket,I have partial or complete information,Yes,NA,19,I do not know,quoted,not quoted,not quoted,not quoted,NA,NA,not quoted,quoted,not quoted,not quoted,NA,not quoted,Yes,No,I do not have this information,no idea,Euro,-66,-77,200.000 - 499.999 Euro,350000,Euro,No,-66,-77,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not quoted,quoted,quoted,quoted,not quoted,NA,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,https://www.pro-fun.de/php/detail.php?film_id=428&release_id=16,quoted,quoted,not quoted,NA,No,I agree to make film-specific data accessible to research community,NA,-66,NA,send a document with festival information by email
f1084,496,Gut Renovation,I do not know,other (please specify),it's already on IMDb,19,Yes,quoted,not quoted,not quoted,not quoted,NA,-66,-77,-77,-77,-77,-66,-77,I do not have this information,I do not have this information,No,-66,-77,-66,-77,0 - 49.999 Euro,"I'd guess about $6,000 USD",United States dollar,Yes,6000,United States dollar,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not quoted,quoted,quoted,quoted,not quoted,NA,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,quoted,"Oucast-films.com, my distributor",quoted,quoted,quoted,"writer, camera, sound, editor",No,I agree to make film-specific data accessible to research community,-66,-66,NA,send a document with festival information by email
f1093,1241,The Swimming Pool,I have partial or complete information,Yes,NA,17,No,quoted,not quoted,not quoted,quoted,Sales Agent film festival report,NA,quoted,not quoted,not quoted,not quoted,NA,not quoted,Yes,I do not have this information,No,N/A,NA,-66,-77,0 - 49.999 Euro,35000,United States dollar,Yes,NA,Euro,Yes,Yes,European Film Market,NA,NA,2.2013,NA,NA,"Berlin, Germany",berlin, germany,NA,NA,NA,NA,NA,NA,quoted,not quoted,quoted,not quoted,not quoted,NA,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,not quoted,NA,not quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,NA,-66,NA,send a document with festival information by email
f1107,942,Salma,I have partial or complete information,Yes,NA,94,Yes,quoted,not quoted,not quoted,not quoted,NA,-66,-77,-77,-77,-77,-66,-77,Yes,No,No,£. 400,New Zealand dollar,-66,-77,50.000 - 199.999 Euro,175,British pound,No,-66,-77,No,I do not have this information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quoted,quoted,quoted,quoted,not quoted,NA,not quoted,quoted,not quoted,not quoted,not quoted,not quoted,quoted,quoted,WOMEN MAKE MOVIES USA.   JOURNEYMAN PICURES UK,quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,267,-66,NA,send a document with festival information by email
f1113,1051,The Act of Killing,I have partial or complete information,No,NA,200,Yes,quoted,not quoted,not quoted,not quoted,NA,-66,-77,-77,-77,-77,-66,-77,Yes,Yes,No,10000,Euro,1500,Euro,1.000.000 - 2.999.999 Euro,10000000,Danish krone,Yes,1200000,Danish krone,Yes,Yes,Tiff,Berlinale,NA,9.2012,2.2013,NA,Toronto,toronto,germany,Berlin,berlin,germany,NA,NA,NA,quoted,quoted,quoted,quoted,quoted,Community screenings,not quoted,quoted,quoted,quoted,quoted,quoted,quoted,not quoted,NA,not quoted,quoted,not quoted,NA,"Yes, contact me via this email:",I agree to make film-specific data accessible to research community,10000,1342282,NA,send a document with festival information by email
f1126,63,The Strange Little Cat,I have partial or complete information,Yes,NA,96,Yes,quoted,not quoted,not quoted,not quoted,NA,-66,-77,-77,-77,-77,-66,-77,I do not have this information,I do not have this information,I do not have this information,-66,-77,-66,-77,0 - 49.999 Euro,NA,NA,I do not have this information,-66,-77,No,I do not have this information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quoted,not quoted,not quoted,quoted,not quoted,NA,not quoted,-77,-77,-77,-77,-77,-77,-77,-66,not quoted,quoted,not quoted,NA,No,I agree to make film-specific data accessible to research community,-66,-66,NA,send a document with festival information by email
