imdb.id,award.institution,imdb.event.id,award.imdb.year,awards.nom.win,award,award.category,award.person,imdb.name.id
tt0019760,"Cinema Eye Honors Awards, US",ev0001823,2014,Winner,Cinema Eye Honors Award,The Influentials,Dziga Vertov,nm0895048
tt0019760,Village Voice Film Poll,ev0002738,1999,Nominee,VVFP Award,Best Film of the Century,,
tt0024844,Village Voice Film Poll,ev0002738,1999,Nominee,VVFP Award,Best Film of the Century,,
tt0025456,"National Board of Review, USA",ev0000464,1934,Winner,NBR Award,Best Foreign Film,,
tt0025456,"National Board of Review, USA",ev0000464,1934,Winner,NBR Award,Top Foreign Films,,
tt0025456,Venice Film Festival,ev0000681,1934,Winner,Mussolini Cup,Best Foreign Film,Robert J. Flaherty,nm0280904
tt0032553,"Academy Awards, USA",ev0000003,1941,Nominee,Oscar,Best Picture,,
tt0032553,"Academy Awards, USA",ev0000003,1941,Nominee,Oscar,Best Actor in a Leading Role,Charles Chaplin,nm0000122
tt0032553,"Academy Awards, USA",ev0000003,1941,Nominee,Oscar,Best Actor in a Supporting Role,Jack Oakie,nm0642988
tt0032553,"Academy Awards, USA",ev0000003,1941,Nominee,Oscar,"Best Writing, Original Screenplay",Charles Chaplin,nm0000122
tt0032553,"Academy Awards, USA",ev0000003,1941,Nominee,Oscar,"Best Music, Original Score",Meredith Willson,nm0932745
tt0032553,Jussi Awards,ev0000380,1974,Winner,Jussi,Best Foreign Filmmaker,Charles Chaplin,nm0000122
tt0032553,Kinema Junpo Awards,ev0001001,1961,Winner,Kinema Junpo Award,Best Foreign Language Film,Charles Chaplin,nm0000122
tt0032553,"National Board of Review, USA",ev0000464,1940,Winner,NBR Award,Top Ten Films,,
tt0032553,"National Board of Review, USA",ev0000464,1940,Winner,NBR Award,Best Acting,Charles Chaplin,nm0000122
tt0032553,"National Film Preservation Board, USA",ev0000468,1997,Winner,National Film Registry,,,
tt0032553,New York Film Critics Circle Awards,ev0000484,1940,Winner,NYFCC Award,Best Actor,Charles Chaplin,nm0000122
tt0037871,"Golden Globes, USA",ev0000292,1947,Winner,Golden Globe,Best Film Promoting International Understanding,,
tt0037871,Cannes Film Festival,ev0000147,1946,Winner,Grand Prize of the Festival,Feature Film,Leopold Lindtberg,nm0512548
tt0037871,Cannes Film Festival,ev0000147,1946,Winner,International Peace Award,,Leopold Lindtberg,nm0512548
tt0037871,"National Board of Review, USA",ev0000464,1945,Winner,NBR Award,Top Ten Films,,
tt0038334,Cannes Film Festival,ev0000147,1946,Winner,Best Director,,René Clément,nm0167496
tt0038334,Cannes Film Festival,ev0000147,1946,Winner,International Jury Prize,,René Clément,nm0167496
tt0038334,Cannes Film Festival,ev0000147,1946,Nominee,Grand Prize of the Festival,Feature Film,René Clément,nm0167496
tt0038334,French Syndicate of Cinema Critics,ev0000263,1947,Winner,Critics Award,Best Film,René Clément,nm0167496
tt0038522,BAFTA Awards,ev0000123,1949,Nominee,BAFTA Film Award,Best Documentary Film,,
tt0038522,Cannes Film Festival,ev0000147,1946,Winner,FIPRESCI Prize,,Georges Rouquier,nm0745801
tt0038522,Venice Film Festival,ev0000681,1947,Nominee,Grand International Award,,Georges Rouquier,nm0745801
tt0041800,Cannes Film Festival,ev0000147,1949,Nominee,Grand Prize of the Festival,,Jacques Becker,nm0065442
tt0041800,French Syndicate of Cinema Critics,ev0000263,1951,Winner,Critics Award,Best Film,Jacques Becker,nm0065442
tt0041800,Prix Louis Delluc,ev0000549,1949,Winner,Prix Louis Delluc,,Jacques Becker,nm0065442
tt0041931,Bambi Awards,ev0000078,1951,Winner,Bambi,Best Actress - International,Ingrid Bergman,nm0000006
tt0041931,Italian National Syndicate of Film Journalists,ev0000369,1951,Winner,Silver Ribbon,Best Foreign Actress in Italian Film (Migliore Attrice Straniera in Film Italiano),Ingrid Bergman,nm0000006
tt0041931,Venice Film Festival,ev0000681,1950,Nominee,Golden Lion,,Roberto Rossellini,nm0744023
tt0042781,Venice Film Festival,ev0000681,1951,Nominee,Golden Lion,,Pierre Chenal,nm0155469
tt0046022,"Academy Awards, USA",ev0000003,1955,Nominee,Oscar,"Best Costume Design, Black-and-White",Georges Annenkov,nm0030333
tt0046022,"Academy Awards, USA",ev0000003,1955,Nominee,Oscar,"Best Costume Design, Black-and-White",Rosine Delamare,nm0216212
tt0046268,BAFTA Awards,ev0000123,1955,Winner,BAFTA Film Award,Best Film from any Source,,
